MEsienna3	MEpurple	MEyellow	MEcyan	MEdarkmagenta	MElightgreen	MEgreenyellow	MEgrey60	MEdarkgrey	MEpink	MEblue	MEdarkgreen	MEskyblue3	MEblack	MEmidnightblue	MEskyblue	MEdarkred	MElightcyan	MEorange	MEsaddlebrown	MEsalmon	MEsteelblue	MEdarkolivegreen	MEpaleturquoise	MEbrown	MEgreen	MEturquoise	MEplum1	MEorangered4	MEtan	MEwhite	MEviolet	MEroyalblue	MEmagenta	MEred	MElightyellow	MEyellowgreen	MEdarkorange	MEdarkturquoise	MEgrey
TCGA.38.4629.01A	-0.00751440003863514	-0.0193823350754283	0.0572920522123409	-0.0661317356429491	-0.034177526194582	0.00831249278342128	-0.00526901352341682	-0.045835785088538	-0.0646176666208365	-0.0407148414007201	-0.0268107553158705	0.0266311891859533	0.0416395788956467	0.050670865454156	0.0139225810669029	0.0669629487592815	0.0319162139168826	0.0779554085848486	-0.0345299665007144	-0.0158808255433009	-0.0729421263019006	-0.00734813921389543	-0.00608099582595898	-0.0631908817849406	-0.087093701054789	-0.0723318510842012	-0.0497149240524225	0.0428958491449314	-0.00112015664641804	-0.00856007509650596	-0.0256169837128586	0.0353716630380502	-0.0200317439194222	0.0608251808812847	0.0385701186174111	-0.0428353123451755	-0.00616890873780605	-0.0119138534145086	-0.0332699477944601	-0.0750191963306495
TCGA.55.6968.11A	-0.0139279435001884	0.00350642747810337	-0.00475225138928281	-0.0110755842010146	0.0335287878484574	0.0454913699903272	-0.00874521166955577	0.0133313405559115	0.0386403522743364	0.0171338664538374	0.075465209070715	0.0202996015498108	0.00523906770642138	0.0786645059232876	0.042635797612821	0.0109597285350657	-0.012637908393214	-0.0357146902488608	-0.00110221731596433	-0.0113806728920353	-0.0321040139327186	-0.0724942248046077	-0.0432359978683237	-0.0159081476312347	-0.00243851802351491	0.0378602038961348	-0.0136559841693957	0.0623943900689558	-0.0604145146901653	-0.0409710832978939	-0.0400608258572986	0.0119301459632574	-0.0304662718301449	-0.050601305973864	-0.0669684208398585	-0.0279171787352394	-0.0427557215404048	-0.0352163266776286	-0.0339306958746471	0.0206862269941027
TCGA.55.6972.11A	-0.0341398001618178	-0.0336745697577631	-0.0465728761920338	0.00581762856514653	0.0210322285759352	0.0513192329058219	-0.0156178351201038	0.010165171180795	0.0280599651687155	0.027032963346111	0.11928680118885	0.0524354190978007	0.0231997712957576	0.0521846339027769	0.0040817107936682	0.0361160224112936	-0.0260262308425108	-0.0419854950781932	0.0323704693867365	-0.000692018291377671	-0.00502437241011119	-0.0620348633228368	-0.0469192799033229	0.0126543543596828	0.00949843525097653	0.07329007878245	0.00415899263295122	0.0616413735920321	-0.0463648230291194	-0.0563778820879267	-0.0436138932745799	-0.0031123008314524	-0.0310022223214259	-0.0715765134338801	-0.0722392636257154	-0.026707204289536	-0.0336618693282197	-0.0378917357262738	-0.0296138134579688	0.0352138913238092
TCGA.86.8075.01A	-0.0640061817665913	-0.0421652779366211	-0.0278327795600738	0.0272962795861799	-0.0497105226166998	-0.00348727818408142	0.00836981251998399	-0.0221559286594396	-0.0216869268620857	-0.0151026275232673	-0.00763108675659447	0.0580620333275718	0.0507494016210997	0.00599535541375532	-0.020555816612752	-0.00750806127625432	0.0387983987450035	0.0886069083258507	-0.0164014218814109	0.0332425866178389	0.0233864613861417	0.00997797836468679	-0.00651687924497167	0.0219371326451322	-0.0107862355447077	-0.0129541273242365	0.0020955864805862	-0.036755490141019	-0.0260148904423466	-0.0357333441773234	-0.0300925626598222	-0.0145036228068685	-0.00710177638151077	-0.0211026815209404	0.0201306167561183	-0.0122964577599026	0.0397732050383869	-0.000385651108293486	0.000558568370016816	-0.0206618787012472
TCGA.69.7763.01A	-0.00455078977867355	-0.0138943965127927	-0.00664684524722893	0.0120844319408413	0.0283979839679107	0.0201716606109629	0.0190809035369743	-0.0140143965289131	0.0165665025132218	-0.00372673460777455	0.0333585227416776	0.0473079289123177	0.0470086595982318	-0.0157021430738902	-0.0210836351345306	-0.0345772779695951	0.0432530445798096	0.0279515233958509	0.0381729159834387	0.0269814103338101	0.0125366520616357	0.0254372603153203	-0.0193989884233872	0.0274940000148436	-0.0275823873070862	-0.000187214477130977	-0.0159518438371954	0.0649873314507889	0.0661593708011662	0.0133398473819043	0.00741579300021732	-0.0104243013054345	-0.0300575958378094	-0.00751795259584085	-0.0358923054819622	0.0156861180989394	-0.0220623863217312	-0.0270150911401327	-0.000549572749126889	0.00421827755005716
TCGA.38.4631.01A	0.000596878188057755	0.0315899412800009	0.0841357203648779	-0.0929847212381448	-0.0502898878993703	-0.0495961363412818	-0.0158675496338295	-0.0322723079077398	-0.0953558571448167	-0.014444606701983	-0.0489676972158632	-0.0279011328424387	0.0327212938654946	-0.039485978173109	-0.0324093863795398	0.0112750486851482	0.0378166298034002	-0.00961865390723015	-0.0181448594249797	-0.0479508640718024	-0.0722883241627935	-0.026813592054742	-0.0154942569242102	-0.0584220273734999	-0.0376136695930879	-0.0668432564323277	-0.0339600769251822	-0.0387367398815947	-0.00375922274345728	0.00496759116250006	-0.00618842674556377	0.0933507934815616	0.0763740658586423	0.124165348790652	0.0747570259601159	-0.00476510421421944	0.102826761911848	0.0719099028638138	0.101301060636421	0.0391005060078592
TCGA.05.5425.01A	-0.000874132967052957	0.0119666087485692	0.0512087521974349	-0.0413904403383637	-0.0447533797132547	-0.0185581226056572	-0.00265842173642644	-0.0279654556298387	-0.0210617038052404	-0.036730057909491	-0.0125813973256305	-0.0221953092223514	0.0267246869379634	0.0263758141054055	0.0430781512041519	0.0636059116827131	0.0440506435455586	-0.0114759906650794	-0.010206173913888	-0.0132227478234656	-0.0331642092412543	0.014578148556437	0.000895564174468174	0.0341476627972099	-0.0538939720599189	-0.048320777145625	-0.0393136968052863	0.0344641018971575	0.0267895895763658	0.0218295886047324	0.00555404220219696	0.0175226175720196	0.0336162139938068	0.0596145795827611	0.0209156410210821	0.00561749507684424	0.0474063064012106	-0.00437448697083985	0.084918914324358	0.0164876765627487
TCGA.MP.A4T7.01A	0.0381485722291453	0.0259431960553665	0.0230101669288558	0.0225458706688855	0.0479033627535114	0.0349312238900705	0.0427440210000424	0.0662737348829891	-0.00764944600956049	-0.0111703832248796	0.00247495606711235	-0.0453464993070002	-0.0360633961763701	-0.018450124888746	-0.0178279206748349	-0.0250876683684587	-0.0513220271157137	-0.0368228759634582	-0.000986096896247368	-0.047291971436582	-0.0232068583289918	-0.0037463540873096	-0.0262005210522479	-0.0313986450646175	0.0440059600048436	0.0022400598407831	-0.000498812752652949	-0.0400212229958582	0.0024898391654065	-0.0192127124461826	-0.0156251855279942	0.00270995620901817	-0.0189042524883287	-0.0252302092489025	-0.00943971709095552	0.0122618065650247	-0.00271198119181024	0.0546065748314064	0.0594786290399282	0.0111517601080087
TCGA.J2.A4AD.01A	-0.0356896571434784	0.0288539163909959	-0.00992489979676361	-0.00285488022567507	0.0352942363233003	-0.015660210557776	-0.00610960354460776	0.0365710829260984	-0.044193655632368	0.0391194726537767	-0.0244938366869687	-0.00108819220786657	-0.022767014917457	-0.0682659915057912	-0.0769975673958426	-0.0743920536807214	-0.0378284617897987	0.00657368000790997	-0.0234969508906448	-0.0563898218693982	0.000745108870770385	0.022194205154934	0.0236358366910249	0.00678928962246458	0.062135695480079	0.0113545589601216	0.0201744241339853	-0.0348898920422614	0.0147227649907271	-0.0235944896012664	-0.0136967356323	0.0521518702887919	0.141185313025634	-0.00237198213827358	0.0226356121978894	-0.024660680262923	-0.0232780391109736	0.0575395660064466	-0.00290765378541304	0.00822835733484242
TCGA.38.4625.11A	0.0248557157009033	0.0150846988119494	0.0163884541180551	-0.0767572330133136	0.0194373205809373	0.0500828137855039	-0.0375813353886586	-0.0354678985843079	0.0279934227985681	0.0630934159992324	0.103218046525817	0.0581543467673955	0.0203055035190276	0.0917152127455493	-0.0350924320058605	0.00788670942274619	-0.0362440829432888	-0.0462487335498014	0.0119247973511378	-0.00110434964831397	-0.0765724450626126	-0.068826911736115	-0.0376717483853862	-0.0245942045033583	-0.067073678379845	0.020160679939963	-0.0414152712127519	-0.035444709684782	-0.0643755193618887	-0.00902000844888421	-0.027662716822833	0.0431428785562115	-0.0295696198076757	-0.0197506359862959	-0.0893904871736805	-0.0273624267667319	-0.0328777472774451	-0.0235440163125895	-0.019288489667493	0.027445128081655
TCGA.55.8299.01A	-0.0283020654429016	-0.0270064248187526	-0.0122617782964947	0.00793455409590194	0.0104607107701868	0.00647154272438615	-0.00461225432470516	-0.00590084401928997	-0.0213158393104997	-0.0381936181496727	0.021352419195833	0.054269256352033	0.0190144379119771	0.0314879646636505	0.0618497705921583	0.0766398361087119	-0.0112431237206652	0.0698071905603811	0.00106816152526905	0.00636718917463482	-0.00676438760093386	-0.0329006835139013	0.00441207350510494	-0.0299270917298424	0.00507368968651449	0.00748431258525967	-0.0027443895906826	-0.0389204119164761	-0.0247721594198359	-0.0209302775493769	-0.0171772916643577	-0.00216589328899263	-0.0246272681798678	-0.0205068022461481	0.00198498848482496	-0.0168877245539545	-0.0155944625959185	-0.00499912056689471	-0.0217151415864785	-0.0121513135732964
TCGA.05.4395.01A	0.066914905367963	0.00765639739803547	0.0761533009003042	-0.0413059743861423	-0.0250419803632883	-0.00225807936591296	0.0177258420538872	-0.0075165189260365	-0.105185840991902	-0.0314639087180736	-0.0560209975360752	-0.0708586392560679	0.0115991266241967	-0.0232546497635236	-0.0240124657302327	0.0369881570750026	-0.0305266699565518	-0.0149546410501624	-0.0138522094423901	0.00876628804141355	-0.0463513123015007	0.046888943665458	0.00715717246382711	-0.110412123940237	-0.0374567063495546	-0.0751728980846984	-0.0334183224568975	0.0518238115580809	0.0422721598600914	0.076202375874165	0.060140560313839	0.017909723950926	-0.0254199716364473	0.0909679634227372	0.0456244346464844	-0.0217284551047091	-0.0232263238702784	0.0853899203770072	0.0081462200500327	-0.05032474281248
TCGA.78.7158.01A	0.101504593002592	0.0325166893035702	0.00337235898993035	0.0208434576955722	-0.0106662443212324	-0.005985521868585	0.00604668294745	0.0187966744605675	0.0579934525189354	-0.0358189711947473	-0.0248162601582318	-0.0675706558833867	-0.0459450972789391	-0.0493692707264801	-0.0600829111572853	-0.0592798348315235	-0.0384497245114891	-0.052669201179253	0.0320097604822977	0.0208776733171277	0.0287232903709531	0.0655815770896066	0.0174727399058135	0.0257821230917069	0.0275591768683466	0.00670229162940068	0.00726528674872596	-0.0354959906643464	-0.0422754447830871	0.0683483241061046	0.056903195984238	-0.0831817494647853	-0.029822991457781	0.00727951162572239	-0.0154940277863502	-0.0211494301836999	-0.0373409627992592	-0.0363138870106255	-0.0092398438291095	0.00629175036923228
TCGA.44.2668.01A	-0.0299283652316096	-0.0728444271437979	-0.00415733973612224	0.0096624158126092	-0.0401965629841416	0.0175560146121807	0.0198544386256864	-0.0304672851829245	-0.0730217428142744	-0.0341444222027236	-0.0258878904630699	0.0191241698926488	0.0602595545594973	0.0400293736176786	0.0254209295045563	0.0823095054469391	0.00196459234366836	0.0828597706285831	-0.0114218312711008	0.0147474078462504	0.00797452977411637	0.03787830343076	0.0311950690580591	-0.0207064551190053	-0.0416053762679859	-0.0470877130091956	-0.0177625181677195	0.0436165060661014	0.0460076355955106	0.0366729584748574	0.0206333207812506	-0.0227146280255789	-0.0213751862627058	0.0343228764552958	0.0563114240873735	-0.0378175181242478	0.0079515249438977	-0.0168823992582942	-0.0208358114520244	-0.0736625385556251
TCGA.97.A4M3.01A	0.0286856042129109	0.0163176123625009	0.0115468917679608	0.027514267114303	0.0488090464264149	0.0198418475017214	0.0389090853010379	0.0417882652277454	0.0275501344094774	-0.0418797829582496	0.00435476783511117	-0.000828086840253556	-0.083748839575189	-0.0554821705449539	-0.0522110797462493	-0.0715977275267399	-0.0318388163575443	-0.00854875593856801	0.00505529990519298	0.000734742046064086	0.00845469762278099	0.0179617661790643	-0.0382716261646213	-0.0405457977508282	0.024527573303259	-0.0105603905457961	-0.00333559538541483	-0.0389389842358232	0.00548751717080587	0.000810680001044266	-0.00634068562292143	-0.0693110575326178	-0.0265754502410862	-0.00840537476766025	-0.0371071821416751	0.0409011292185742	0.00628573215230119	0.0945340553156883	-0.0186278537903539	0.02828117825856
TCGA.55.8091.01A	-0.0326835488813246	-0.014999191281719	-0.0159169475353925	-0.00614977279259007	0.0136530539872285	0.0173187734726783	-0.0107261086496022	-0.00368641464546538	0.00457020823828426	0.055929992030493	9.43606317223841e-05	0.0391111456867433	-0.00480201386958494	0.020346326590013	-0.0013672878270413	0.0254881971505079	0.0347557721669226	0.0659590482143808	-0.0137838113796016	0.0531319690207702	-0.00368568571742228	-0.0298741930504908	-0.00874825426376484	-0.00253155802119609	-0.00638039297640679	0.00935556737931067	-0.000144695497706974	0.078053391476037	-0.0289487956154977	-0.0159071919054704	-0.0139558447102247	-0.0436475311174437	-0.0251676479328068	-0.0328921679894512	-0.0193809815868068	-0.0195810178894798	-0.0175413614253187	0.0103617184349755	-0.0217801589637735	-0.0350095515950912
TCGA.91.6829.01A	-0.0209984274209689	-0.0407401106838846	-0.0364582391768771	0.033632600336053	-0.0289510188895834	-0.016589790537618	-0.000728463596767409	-0.0483958809037659	-0.0150376215165163	-0.0241409755485355	0.00151110508757567	0.0755832823905391	0.00463912911028859	-0.0128547961243182	-0.054505672126628	-0.0429841171543587	-0.0224740943366702	0.0857244193982903	0.00861689501247736	-0.0103472234667918	0.0466409000289474	0.0421892990640646	-0.018389308917447	0.0637888126513918	-0.035073938417711	-0.0180276327703543	-0.00163742001959711	0.00829440509413033	0.0408297792985249	0.016851932466307	0.00938174046989542	0.0277807849493328	0.0483358254173959	0.00090732790554231	0.0332559310719046	-0.00973512828803464	0.0126608770252148	-0.0233010403769132	-0.011297956346629	0.0248235434568238
TCGA.64.1680.01A	0.0653362018451872	0.0504983297944806	0.0440125961925377	-0.0883541947694401	-0.0581125273978422	-0.0196649948341423	-0.0482579721353755	-0.0239918063840973	0.0573471471223165	0.0566171997613747	-0.0214052172514346	-0.048881825351055	-0.0496790309673941	-0.044092622759312	-0.058582046868455	-0.0231703359669229	-0.0421763236718574	-0.0822644265239056	0.0140549576860985	0.0568161267153941	-0.0491734797384874	0.00635005238567283	-0.0271788792184653	-0.00947201411137557	-0.0373273595879595	-0.0113501092928422	-0.0279647604797238	0.0100412238298636	0.0144840838122056	0.0828720928923565	0.0680742568842111	0.0194510950421252	-0.037045712614921	0.0518267212988834	-0.0349729554786528	-0.0267646805698651	-0.0613146900764592	-0.0253977790589798	-0.02148851461987	-0.054252742713626
