baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GDA	124.07484162988	-2.79643537204837	0.385970118237649	-7.24521210299123	4.31762983991031e-13	1.28706273090968e-09
LGALS4	1110.76138425234	-2.89114010801373	0.399684357979641	-7.23355830743068	4.70500305166955e-13	1.3324098142023e-09
KRT20	69.7323492570522	-3.89160412479779	0.541575488965036	-7.18570947927266	6.68590778041489e-13	1.80322116603399e-09
SNORA79B	22.4679573918653	-2.72943136566107	0.380984114074133	-7.16416056426427	7.82646306663699e-13	2.01488734167357e-09
PDIA2	82.2221974886486	-2.38272896618322	0.335853940881418	-7.09453925099096	1.29783137892069e-12	3.19593798431784e-09
SNORD17	62.3786646075038	-2.34280094381248	0.335270873164239	-6.98778549326834	2.79258911367177e-12	6.59027759250591e-09
CPS1	8906.03294148684	-3.14414128221429	0.452515247205837	-6.94814440315225	3.70122056126676e-12	8.20724878899363e-09
RNU4-2	102.853758497011	-3.7143299208375	0.534771733424782	-6.9456362194954	3.76758481079548e-12	8.20724878899363e-09
CYP4F3	405.72782125893	-2.65459099456412	0.382634895518754	-6.93766048432457	3.98646351981115e-12	8.36241929018756e-09
PAGE2	31.6572890049244	-5.72035644754675	0.827097120278098	-6.91618469862811	4.6396941154379e-12	9.38510697536328e-09
LHFPL4	122.615662592855	-2.88769494706936	0.417975562669379	-6.90876502115876	4.88890969790194e-12	9.54820922309553e-09
AKR1B10	2674.45792204655	-3.26088511934369	0.473974250879248	-6.87987820708524	5.99037535477688e-12	1.09667077770754e-08
FOXD1	29.3645830216444	-2.52459889280845	0.366969336996846	-6.87959084938519	6.00247079856874e-12	1.09667077770754e-08
SNORA12	16.5425542338842	-2.89063044565373	0.421235816489376	-6.86226178425318	6.77787063208227e-12	1.19964074018711e-08
IGF2BP1	315.909439009907	-3.03308160610628	0.442483101658671	-6.85468347771162	7.1470587345369e-12	1.22665185638394e-08
SERPINA4	70.0908062739968	-3.53277939244021	0.522479991599433	-6.7615591969858	1.365145163091e-11	2.27409093373964e-08
GJB6	203.002950057876	-2.52030835805108	0.375820057755576	-6.70615712504155	1.99816566971417e-11	3.19027329292247e-08
SP3P	40.5978803941704	-3.29668037932498	0.491747659415869	-6.70400827782484	2.02778767868231e-11	3.19027329292247e-08
DSG3	41.7008341972003	-2.9440608421673	0.44078001332643	-6.67920675429312	2.40239034409965e-11	3.67747525159774e-08
ONECUT3	14.1066195420178	-3.3894890241874	0.508713685597295	-6.66286188115366	2.68546020053594e-11	3.91028456330602e-08
MTCO1P40	171.002821358	-1.96839353478777	0.295444831406689	-6.66247409174747	2.69255796406891e-11	3.91028456330602e-08
CDHR5	60.6194850187382	-2.20056689811964	0.330815922983736	-6.65193766452356	2.89259219343839e-11	4.09576591629909e-08
LINC01234	59.5064075451321	-2.91352453439597	0.438744981354522	-6.6405877177242	3.12434830311837e-11	4.31602046809801e-08
SNORA23	15.1112820670888	-3.37550026226016	0.509328004319947	-6.6273604310588	3.41742491464501e-11	4.60847886465867e-08
NTSR1	29.5432820453158	-2.50408815188813	0.380095651998595	-6.58804734734872	4.45648545623198e-11	5.86991682023412e-08
A2ML1	60.8628255457506	-2.41722432864639	0.368337611685177	-6.56252376070793	5.2904606913488e-11	6.81002528719576e-08
KNG1	11.1596704404096	-2.89411947890552	0.443219124637171	-6.52977120803331	6.58702342812563e-11	7.93778367919531e-08
