baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRX	1132.02249905362	3.40789078396596	0.163203560100174	20.8812282150843	7.93263893667476e-97	8.80740680686807e-94
EDNRB	1533.98335685349	3.5416561969302	0.171522924225578	20.6482965056752	1.01123099031077e-94	8.80922209159336e-92
CDH5	3138.1898699839	2.5957212699109	0.12605136119108	20.592568341853	3.19950859482016e-94	2.70401454735965e-91
SH2D3C	1119.51766994133	2.34874868111388	0.114635823397333	20.4887844960385	2.7107666059851e-93	2.19277783281858e-90
JAM2	712.855087952768	2.55012533210282	0.124462387424175	20.489124344143	2.6919123025964e-93	2.19277783281858e-90
AL590226.1	31.5816933463547	3.71724365045978	0.18178125066761	20.4489937042892	6.13272737225187e-93	4.75698020173137e-90
KANK3	273.011596005364	2.91430469274848	0.142806668724796	20.4073431498123	1.43897095675297e-92	1.08640388606907e-89
FOXF1	591.102132080803	2.81344115729702	0.139002994467084	20.2401478333852	4.33865978728471e-91	2.92466990232392e-88
PLAC9	281.961265134111	2.80537888489389	0.138788759501016	20.213300378071	7.47767924560846e-91	4.92344313492248e-88
MYZAP	129.823655774904	3.39901069762296	0.169350688968534	20.0708406816964	1.32740230220144e-89	7.99604552764405e-87
CYYR1	779.303751835262	2.32305994715571	0.115791038817516	20.0625192664244	1.56928438061502e-89	9.35359565978368e-87
FCN3	1538.0155710438	4.58953210177394	0.229692694325509	19.9811844919625	8.02960069898732e-89	4.63947050999447e-86
CALCRL	2484.25212865253	2.78436303411463	0.14050330859808	19.81706382502	2.12129909187705e-87	1.17761215469065e-84
FGD5	1207.80422536674	2.29570149455062	0.116040586763683	19.7836081200264	4.12119850962762e-87	2.24383408085725e-84
GRK5	1426.56282069989	2.553470375679	0.129240278295545	19.7575431541532	6.90865595410223e-87	3.69052579948193e-84
SMAD6	864.169131211765	2.62260089114241	0.133061092598966	19.7097501600013	1.77842777384601e-86	9.23868754736298e-84
CD101	243.001337858292	2.76491669049222	0.14050933489612	19.6778149475716	3.340993316489e-86	1.70432797795381e-83
PRKCE	1040.41555668009	1.91168787726881	0.0971653537700668	19.674583615397	3.56089488880682e-86	1.80028671592676e-83
SPOCK2	6281.93537989139	3.22737977231602	0.164177885262327	19.6578227765526	4.95541968683021e-86	2.48314764908915e-83
TAL1	188.758558967305	2.83989079664743	0.144521956824883	19.6502376458168	5.754281648756e-86	2.85816179016807e-83
LRRC32	2044.97543431101	2.459260836801	0.126221273690909	19.4837269890275	1.50885494231891e-84	7.17961363477867e-82
FHL1	3028.58118539027	3.4881304341476	0.180372135156171	19.3385216132607	2.54672168911505e-83	1.14448864225754e-80
KANK2	4577.24073276157	1.67203673739229	0.0864912428839948	19.331861604011	2.89771387311758e-83	1.28187617462039e-80
STARD8	699.871466844893	2.27792621431461	0.117966073571998	19.3100113052787	4.42475660982138e-83	1.92728783288097e-80
GIMAP8	1089.8075197679	2.48702997811311	0.128968015281374	19.2840835201432	7.30735565978167e-83	3.11106546525923e-80
ANGPT4	53.797329388403	4.29620342876496	0.222794558653285	19.2832511473081	7.42591271621946e-83	3.13794687793441e-80
FMO2	2428.52870700632	3.32870607299858	0.173801414017223	19.1523532292362	9.25103761381817e-82	3.68894897073831e-79
CAVIN2	3134.91812032488	3.34665338949282	0.176153726590088	18.9984819184696	1.75548963663175e-80	6.53966086741027e-78
AC093110.1	112.716050583196	3.30581173579888	0.174571935642112	18.9366734328712	5.6879268842277e-80	2.06457161469557e-77
USHBP1	138.204380447163	2.36447631088121	0.125033681145024	18.9107150107714	9.30860523146122e-80	3.33601558624215e-77
MYCT1	508.9737189142	2.28702733362227	0.120968570299734	18.9059631601457	1.01862502090836e-79	3.62758636376824e-77
STARD13	824.799662382084	2.03702267672047	0.107960886681572	18.8681543782482	2.08452529166864e-79	7.28605926638549e-77
ARHGEF15	630.285843490282	2.4821042759233	0.13167357228125	18.8504362182992	2.91429356066635e-79	1.00621316206812e-76
SLC6A4	1136.86333456159	6.17554405683914	0.32806125552421	18.8243626848627	4.7691183322365e-79	1.60741997883666e-76
CLEC1A	188.300808510801	2.32977582387581	0.123763669417181	18.8243919629001	4.76648322844237e-79	1.60741997883666e-76
CCM2L	108.496374834559	2.57506921863208	0.136884525101367	18.8119819733104	6.02428056284354e-79	2.00658154464972e-76
CLEC14A	1508.96934704751	2.33904716204898	0.124459866995487	18.7935855831648	8.52219842231613e-79	2.78936973101288e-76
ERG	995.518823996618	2.20032088208659	0.117099592468146	18.7901668631779	9.08931375233597e-79	2.9578925397257e-76
ECSCR	45.732714309112	2.27985902985322	0.121860752080749	18.7087227915885	4.20327883085051e-78	1.30058175146491e-75
CLEC3B	451.547914111729	3.82618341653675	0.205262803802666	18.6404129031344	1.51070235572284e-77	4.47863927698691e-75
ARHGAP6	277.22553563117	2.42925449526038	0.130584749217126	18.6028958957619	3.04410418871302e-77	8.88501832895289e-75
FABP4	955.710687323272	5.0033505158926	0.269116969030164	18.5917318180401	3.74876108476492e-77	1.08856332135246e-74
AGER	14193.3613095245	5.14049868979242	0.276944335524545	18.5614870224953	6.58562979785677e-77	1.90257500854001e-74
SPTBN1	21125.3313257547	1.79413266374069	0.0967960489848598	18.5351848815784	1.07419949825405e-76	3.07199355500692e-74
NOVA2	267.970652241275	2.43498793450037	0.132116674121451	18.4305875900415	7.46676673409326e-76	2.0930603938183e-73
LINC00968	68.6865014293295	3.6196024175666	0.196469141803853	18.4232617108913	8.54931147954994e-76	2.38471040994106e-73
PDLIM2	967.537892008177	2.01304447359039	0.109481846605942	18.3870160761531	1.66917495037155e-75	4.61050548243115e-73
SOX7	304.632549411053	3.02460866456432	0.164827156758312	18.3501840597744	3.28996027532511e-75	8.87098622047663e-73
AL606469.1	15.2145016296957	5.33550384120166	0.291550907657607	18.3004192443386	8.21145756454495e-75	2.2036283086957e-72
ADRB2	435.6020240296	3.12924741615397	0.17103019040829	18.2964622133888	8.8299814699928e-75	2.35843806960789e-72
MMRN2	1388.67501414968	2.1760673957382	0.119161148990266	18.2615509683945	1.67465863634071e-74	4.45191880864583e-72
THSD1	269.989601048153	2.27223723725152	0.124740471757654	18.215717843893	3.87304504292351e-74	1.01063273046314e-71
ARHGEF26	1130.00387216922	2.68467381761405	0.147389128861125	18.2148699728298	3.9335075013535e-74	1.02170150805798e-71
C20orf202	19.736955969428	2.57638163559323	0.141586763509817	18.1964865339591	5.50258650898147e-74	1.42273268714414e-71
FENDRR	475.609064485287	4.00896620924441	0.220790693487894	18.157315174447	1.12388253288773e-73	2.86660921361419e-71
NDST1	5474.46169397267	1.61412892927857	0.0893180733403086	18.0716944389141	5.32527701379759e-73	1.32836337281619e-70
TAMALIN	573.33310186336	2.40235622268834	0.13303926914128	18.0574971449759	6.88754206298063e-73	1.7105271130448e-70
LMO2	678.572957493756	1.95695967018426	0.10843996582911	18.0464799598721	8.4081627898881e-73	2.07905593805513e-70
CSRNP1	3192.29233795769	2.38192192172736	0.132258790098075	18.0095547521724	1.63941912269563e-72	4.00131329325506e-70
LYVE1	633.799904163061	3.25718166128995	0.18128456689136	17.9672308412327	3.51844680684573e-72	8.4418869487641e-70
PNPLA6	3455.7310579481	1.58963354403799	0.0885787272644115	17.9459966645588	5.15769026555034e-72	1.23227448774904e-69
HID1-AS1	11.2152158554728	2.85623254940089	0.159184674104531	17.9428865590748	5.45465962812946e-72	1.29232069783767e-69
STX12	3328.06059120234	1.06594958800741	0.0598872666468302	17.7992693220343	7.15969044134807e-71	1.66151767029055e-68
CAT	5589.08628122762	1.91828062643045	0.107896955134898	17.7788207649802	1.03126304184228e-70	2.38343830535826e-68
AL109741.1	12.7895641282647	2.58562798221525	0.145472706485357	17.7739731712183	1.12437582038221e-70	2.5880754655822e-68
VIPR1	1189.5271513436	3.28512869226484	0.185153541724612	17.7427267211068	1.96179917981757e-70	4.42569389474064e-68
TMEM100	1170.49724220866	4.40577877867913	0.248492858862106	17.7300015737032	2.46027423062593e-70	5.50634656264674e-68
AC084871.3	34.0245654107901	3.65473469189164	0.206445628137975	17.7031343548194	3.96606618899516e-70	8.77244265178367e-68
SASH1	1958.57760729292	1.87921357820079	0.106181271181125	17.6981642553065	4.33199307000568e-70	9.5445437975098e-68
FEZ1	436.661175216192	2.19543551344295	0.124366126790875	17.653002228932	9.64878343433729e-70	2.09330541450542e-67
