baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KIF26B	2055.14915900298	-3.10691248416049	0.156423013822379	-19.8622466620446	8.63596871433528e-88	4.89003092480521e-85
CEP55	1042.16585602451	-3.29275825641838	0.166137435374801	-19.8194840855104	2.02170615515867e-87	1.13343652801688e-84
GINS1	696.81447287533	-3.07217232620215	0.155056972499026	-19.8131839973946	2.29126200988399e-87	1.25961572861817e-84
HMGB3	12701.3927041665	-3.54570494929362	0.17933849680806	-19.7710196773227	5.28960143408987e-87	2.85255611051338e-84
ALDH18A1	4912.13322255577	-1.62882796690835	0.0824754355978698	-19.749249641434	8.14185371600096e-87	4.30863854967139e-84
SYT12	1361.1965923833	-5.67460738538114	0.28776754972669	-19.7194137795267	1.4692143408121e-86	7.70303637353187e-84
RECQL4	908.084020450514	-3.03023616708492	0.153945389872206	-19.6838383377405	2.96660550561327e-86	1.52710063772587e-83
CDCA8	868.48312701772	-3.05031719347838	0.155360690595876	-19.6337772558752	7.95732624813411e-86	3.91804905629866e-83
EZH2	928.382364747073	-2.55872592580428	0.130422983783583	-19.6186734237739	1.07111996073446e-85	5.22854281522656e-83
LGR4	3100.17349103269	-2.68393750484606	0.136982813504656	-19.5932426570785	1.76577514471226e-85	8.54574801659717e-83
SPAG4	703.738700655113	-2.90514341858159	0.148717381776631	-19.534659525845	5.57162237694966e-85	2.67362326671523e-82
FRMD5	336.620945592864	-3.6511425666081	0.187679044045239	-19.4541835247627	2.68596748600553e-84	1.26741852439648e-81
STIL	585.276702584686	-2.59199644821699	0.133333468880342	-19.4399535989207	3.54486204234987e-84	1.65887825029768e-81
CCNB1	1843.9469921675	-3.00729494463452	0.154873640882593	-19.4177325947563	5.46500686476606e-84	2.51585811959767e-81
GJB2	1668.83852829162	-4.67537471392876	0.240773958978406	-19.4181078957466	5.42522073289499e-84	2.51585811959767e-81
SKA3	315.591954604386	-3.22083605388343	0.16592848377019	-19.4109894859539	6.2315433659018e-84	2.84560412540987e-81
MCM10	419.93534283188	-3.56570839003246	0.183922326949393	-19.3870339135801	9.93006348345243e-84	4.49823931749608e-81
EPHA10	524.586835226889	-3.69563490690928	0.191153528794951	-19.3333334216056	2.81621087470621e-83	1.25563090212098e-80
CDCA3	479.451122996076	-3.27680683003779	0.169667172423546	-19.3131457501854	4.16419402068898e-83	1.82785521106584e-80
AL162595.1	741.017874188737	-2.19540399956062	0.113797616946334	-19.2921790321493	6.24834531473422e-83	2.70081148932451e-80
LINC00511	1127.5747786606	-3.19069283485472	0.165427956711014	-19.2875067690555	6.83929618245513e-83	2.93385081087378e-80
PAICS	5876.63970526309	-1.88010967551839	0.0976100277280794	-19.2614398262029	1.13187047644846e-82	4.74748398951239e-80
FUT2	995.425474892589	-3.18670291929669	0.165550656718542	-19.24911071005	1.43606820833858e-82	5.97911222271792e-80
CBLC	875.451857745305	-3.23087848363205	0.168038219799188	-19.227045415579	2.1979907979806e-82	9.08460079889441e-80
RRM2	2445.38265297702	-3.22193173077552	0.167711337182246	-19.2111743004848	2.98438519468633e-82	1.22454947292695e-79
HS6ST2	2025.32317138133	-3.83921120944759	0.200220296613753	-19.1749351807917	5.99431303119931e-82	2.44188475596137e-79
CENPA	289.3728758134	-3.64697737583129	0.19029030130585	-19.165335021303	7.2091110107947e-82	2.91577644196599e-79
RASAL1	466.98268803057	-3.97034437437991	0.207182403735625	-19.1635211426848	7.46482307583318e-82	2.9977882400424e-79
TMPRSS11E	599.944985930047	-6.6769954268955	0.348757947182375	-19.1450703298352	1.06394857196253e-81	4.21293873697947e-79
PPP1R14D	598.58834718689	-5.91723046653982	0.309250965132234	-19.1340727554711	1.31396255160762e-81	5.16679274459931e-79
SPTBN2	3001.5109286703	-2.54949614431071	0.13356371747512	-19.088238875843	3.16252626358833e-81	1.23499922172018e-78
MNX1-AS1	73.1795068760892	-5.29567917610707	0.277465534540431	-19.0858990284266	3.3073719851943e-81	1.28271665266878e-78
ZFPM2-AS1	165.048000295924	-5.29703844809911	0.277556549774039	-19.0845377362252	3.39466611974236e-81	1.30761615213804e-78
CKAP2L	425.809517172883	-3.19539159904851	0.167465932268442	-19.0808456129836	3.64316748991293e-81	1.39385618884344e-78
PSAT1	1285.19443857701	-3.55284643648213	0.186419354150662	-19.0583561061517	5.60070426322441e-81	2.12841797450214e-78
EFNA4	763.160221963212	-2.21502989292181	0.116235491778297	-19.0563988591942	5.81414935192011e-81	2.19480261935416e-78
SPP1	24352.3490327536	-4.71873046268138	0.248238670183221	-19.0088452343004	1.44089506326722e-80	5.40326106373796e-78
SFXN1	2147.55289617719	-1.54173650828546	0.0811738512607412	-18.9930191107133	1.94800145997246e-80	7.20938788689415e-78
CCNB2	907.462836347147	-3.07302646472722	0.162169064863534	-18.9495232479338	4.4560196800861e-80	1.63842635302075e-77
GTSE1	482.218098715707	-3.09573918128109	0.163427956822086	-18.9425312625748	5.08906074326808e-80	1.85911597114072e-77
LINC02014	41.5255005837117	-3.97319451732645	0.210039664253954	-18.9164010113945	8.35698561959747e-80	3.01405066066298e-77
TMEM177	510.491178399613	-1.600677496022	0.084681880652178	-18.902243120894	1.09305158451454e-79	3.86830955759697e-77
MYEOV	918.329123693168	-6.2635728533788	0.331491604386397	-18.8951176153402	1.25108479405821e-79	4.40008853284173e-77
TTK	470.190918036331	-3.35163757470081	0.177700708779914	-18.8611379083011	2.38041359081166e-79	8.26923553166377e-77
GCNT3	2217.11939006666	-5.1756795562268	0.274764042684146	-18.8368154204824	3.76976053022752e-79	1.29369042584002e-76
SGO1	145.36066744172	-3.24270326672128	0.172241311525749	-18.8265128615008	4.57940855996938e-79	1.56207488132353e-76
KIF11	1181.01183535148	-2.73407985243261	0.145309112436491	-18.8156118125597	5.62552988427618e-79	1.88485209566423e-76
TUBB3	61.1909832882495	-4.44726045213048	0.236440605803056	-18.8092076529141	6.34794631392043e-79	2.10202404724813e-76
PPAT	883.193900066596	-1.94360788349126	0.103351214395085	-18.8058543372441	6.76238904160457e-79	2.2262413784408e-76
AURKB	618.60517960773	-3.41014675322118	0.181613650301325	-18.7769297492959	1.16632183345143e-78	3.77381757127736e-76
CDC45	471.889132673257	-3.23104759335509	0.172168736200998	-18.7667497865758	1.41268331818328e-78	4.54498751186422e-76
EFNA3	189.644272720665	-3.06726215271878	0.163503198785613	-18.7596461445418	1.61470854638407e-78	5.16560772488428e-76
SRPK1	2011.94841078655	-1.60516677735567	0.0855784790971571	-18.7566639918119	1.70787899194282e-78	5.43297415953767e-76
RMI2	686.511039781311	-2.33748933972726	0.124693687813978	-18.7458513795375	2.09295244822395e-78	6.62074521945436e-76
RAD54L	196.780962768687	-3.15585232958445	0.168448606998393	-18.7348081163684	2.57568646264144e-78	8.10253723670048e-76
FOXM1	1321.51651180366	-3.38377115163601	0.18077009870048	-18.7186441560926	3.48919984407714e-78	1.08556292291771e-75
GPT2	3164.43986616978	-3.41348195586426	0.182356899063737	-18.7186883160981	3.48630862757963e-78	1.08556292291771e-75
OTX1	271.550400605863	-3.38752728930849	0.181264066353925	-18.6883553781377	6.15822680255094e-78	1.8951273612372e-75
ZWINT	1388.97803215711	-2.63098892350423	0.140882384988584	-18.6750737057541	7.89808416747611e-78	2.41741144810361e-75
NEIL3	220.356297436783	-4.26366775342485	0.228469756483627	-18.6618474980972	1.01172068857738e-77	3.07998238010782e-75
CST1	705.909932076549	-6.69161728556133	0.35875307297181	-18.6524319642194	1.20661783352401e-77	3.65366460991785e-75
MMP13	1412.2515984922	-6.50087590376015	0.348547429371301	-18.6513379699464	1.23156367572353e-77	3.70936497734942e-75
CELSR3	779.140893080765	-3.43976199113905	0.184439604169534	-18.6498014167135	1.26747173393574e-77	3.79731849007288e-75
NDC80	535.109133948184	-3.17267965959981	0.170147258118435	-18.6466693303479	1.34393119042089e-77	4.00519788033644e-75
EEF1A2	2850.7526569579	-6.35610641410553	0.341155367511024	-18.6311194822404	1.79725509510289e-77	5.30040481797428e-75
FERMT1	1335.26528301754	-3.23546222024533	0.173785129051763	-18.6176011601178	2.31347881182948e-77	6.78748312129703e-75
