MEdarkgrey	MEdarkred	MElightcyan1	MEpink	MEmagenta	MEyellow	MEgreenyellow	MEsalmon	MEplum2	MEviolet	MEred	MElightcyan	MEpaleturquoise	MElightyellow	MEdarkmagenta	MEorange	MEbisque4	MEthistle1	MEdarkslateblue	MEpurple	MEroyalblue	MEblue	MEgreen	MEdarkorange2	MEdarkgreen	MElightsteelblue1	MEfloralwhite	MEsienna3	MEblack	MEcyan	MEivory	MEdarkorange	MEskyblue	MElightgreen	MEskyblue3	MEgrey60	MEsteelblue	MEthistle2	MEtan	MEwhite	MEdarkolivegreen	MEdarkturquoise	MEmidnightblue	MEsaddlebrown	MEyellowgreen	MEbrown4	MEmediumpurple3	MEorangered4	MEplum1	MEbrown	MEturquoise	MEgrey
TCGA.38.4629.01A	-0.0748347025068323	-0.0066602090475232	-0.00601935133999545	-0.0412103157686201	0.0245916449435346	-0.0323894175177138	-0.0151560567836522	-0.035963047332557	0.0422846063485233	0.119274918259251	0.0468502916115171	0.00461699935831411	0.0644188395296659	0.0312798857671959	0.0630198444783866	0.0703442966515168	-0.0249413447951912	0.000761212141411386	0.00148846960748315	-0.00885541082590529	-0.0234169809346367	0.0619688838078128	-0.00404973201560981	0.0361077822222967	0.0628278431897374	0.0298792174684129	0.0391035563221341	0.061418912922924	0.0419989456159021	0.073615430747092	0.0644158852002598	-0.0336573326338933	-0.00996140099858061	-0.0198704660988079	-0.00203215108481124	-0.0419028097824279	-0.020962174313241	0.0424977279200856	-0.0746640332027012	-0.0451944993955245	-0.0222158787948194	0.00912171496399869	0.0122771123073773	-0.0434144687175131	-0.0155961039771289	-0.00234384921007255	-0.0141418259838492	-0.0228429981942833	-0.0735342486790778	-0.0836492329869307	-0.0589543093029042	0.0204662208187112
TCGA.55.6968.11A	0.0338599023078677	0.0485533428075066	-0.00111330359924039	0.0178820938454024	0.0213266750957638	0.0801068467823616	0.0419167368218553	0.0455687521391186	0.004799559613132	-0.00442412294365079	0.0801403639812952	0.0479062129924483	0.0101488172135001	-0.0121749702145058	-0.0113911627588075	-0.0456510014435414	0.0102225754597306	-0.0602921333998708	-0.00605206777650826	-0.041846249028388	-0.00942636110389601	-0.0118372805890133	0.0117606157283548	0.0179196510417623	0.00922863056843834	0.00292962408903828	-0.0444974259470226	-0.0459715710162988	-0.0661953868392023	-0.0470480610615149	-0.0335695731799324	-0.0336310853087311	-0.0332568574258112	-0.0299889115332145	-0.0418820483054041	-0.0307639895862375	-0.00453506784109587	0.0622894770000475	-0.0322083933040628	-0.0126685398057846	-0.0326995523312914	-0.0704469395991179	-0.0394653179425115	-0.00285960672194965	-0.0142357366397606	-0.0139022500587224	-0.0471655858969567	-0.0208412645229796	-0.0131841969480132	-0.00378003769433544	-0.00818225641666126	-0.0470570949142493
TCGA.55.6972.11A	0.0276173076321718	0.0751880654954759	0.0871188977138234	0.0280417773647611	0.0605172266258611	0.12242297347518	0.0543044623895925	0.0814121826661135	0.0213700651960788	-0.0442977474124942	0.0524927499326626	0.00432494241595649	0.0359512247604783	-0.0258488024609391	-0.000636303116360275	-0.0609250000086331	0.00155640693556432	-0.047175753311854	-0.0299251070280402	-0.0556749664874757	-0.0346989001402831	-0.0562558985496979	0.00181384454987599	0.00278760696163981	-0.00397170186277526	-0.00871992616373971	-0.0653134974256259	-0.0461467659889242	-0.0723813596651046	-0.0746323271984058	-0.0473580836036768	-0.0301895562247594	-0.0377088248224276	-0.0299394048531928	-0.0384566747583564	-0.0297659601176034	-0.00527761472270929	0.0614400780361915	-0.00691056031455966	0.00413533250057638	-0.0413394183246546	-0.0709492900650535	-0.0193505259036539	0.0253702339783358	-0.00620229567385203	0.0110423281222185	-0.0494384439322867	-0.00903427730139529	0.0178928336459499	0.00481255184520177	0.011618296440211	-0.0663234113685858
TCGA.86.8075.01A	-0.0293441030893818	0.0233346463959532	0.0379256645948102	-0.0172883404004527	0.0577076606564537	-0.0152442873747458	0.0159009984362386	-0.0144586056514624	0.0517416541196602	0.0388975874034846	0.0035828448672975	-0.0221722734221944	-0.0197055829059313	0.0387606904910605	0.0592689128615442	0.092085129463644	-0.0454867632477469	-0.0256686461121099	-0.0656986153942879	-0.0358457799513218	-0.0504862606026429	-0.0230410768344404	-0.00713349981952868	-0.0183536671075457	-0.0304816740139473	0.00675919611380929	0.0546108676018517	-0.0396937171365444	0.0204041759628381	-0.00909787626577097	0.00244776408839886	-0.00324448810104268	-2.96363097043816e-05	-0.00755011634167865	0.0409325505718224	-0.0114221504328494	0.00221359842996089	-0.0363275486904283	0.0212440678652204	0.0297518276614558	-0.0281880085793549	0.00230146405310069	0.0222671044925154	-0.0187302535167813	0.032706986221472	0.0391131719939226	-0.0129257724742403	-0.00809849465647079	0.0246931471229345	-0.011449147687785	0.000110061153710336	0.0300481045619048
TCGA.69.7763.01A	0.0119820080946318	0.0338333865741829	0.0477499733922515	-0.00239026137835845	0.0407362284283223	0.0340363824074019	0.0142105928755867	-0.00699921093532854	0.0443154176705025	-0.0395778244551116	-0.0162107864759867	-0.0191261725737222	-0.0386030405015696	0.0425920164531999	0.0414102953666516	0.0201722435636756	0.0330300365144885	0.0660376717891747	0.0003742947708914	0.0132756888707254	-0.0438556247316474	-0.00925994879176617	0.00787887632395237	-0.0123183882014698	-0.00471847813731425	0.0335175817175165	-0.071317785067298	-0.00544132052191221	-0.0380789354106389	-0.0118389860251912	0.0136666430603876	-0.00131392046507947	-0.0291160444740569	-0.0289713538607529	-0.0189629072281532	0.0154893806370014	-0.0171913855687878	0.0648945890363423	0.0192058251229473	0.0271661917036812	0.00335505018467308	0.0239425941465414	-0.0157287814814061	0.0490701094829878	0.0267725449918038	0.0281688611982361	-0.0189371908782202	-0.0229610144902988	0.0429664229456483	-0.0301565987799726	-0.0149742337688605	-0.031188169972943
TCGA.38.4631.01A	-0.0893810773768127	-0.095965332780713	0.011969969574729	-0.0153692092578722	-0.0333763933745453	-0.0468761901861655	-0.0882801244565401	-0.021961574924473	0.0373118615195506	0.0123433273475089	-0.0414494120449154	-0.0371894763554716	0.00582873444080388	0.0377532491564052	-0.0404400806548923	0.000524493623655732	-0.0537281097565957	-0.00347780362867922	-0.000829505731630314	0.00544234552720536	0.0207600470032889	0.092988493726544	-0.0163868113637189	0.0879812027129165	0.127095077622985	0.0225318728593924	0.0989139886916727	0.0425043330221352	0.0735379298872741	0.129875200294044	0.0798129938925839	0.104260575298199	0.0789478232015944	0.0726604918822158	0.103627675073034	-0.0125156122913551	0.0506072303703465	-0.038230652408841	-0.0759349330254571	-0.0587829970214188	-0.00679612703097802	0.0200604473088674	0.0407436583798211	-0.0235546862469108	-0.0336079962220018	0.00872126757781389	-0.0219201195817061	-0.0163567701515949	-0.0687596068169418	-0.0310235423545337	-0.0404368558216262	-0.0358235653361706
TCGA.05.5425.01A	-0.0226930409661462	-0.0286638223112529	0.0325640512438417	-0.0358498734684617	-0.0255002036627314	-0.00865621594037435	-0.0343060662972467	-0.031951448327505	0.0264581932708268	0.033545015106576	0.0260809136118396	0.0358878963225394	0.0719659053765304	0.0440176289066358	-0.00689485143554293	-0.0109888159640743	-0.0503093750980721	0.0269056430917507	-0.000746141610088119	0.0221118172791616	-0.0304444445314372	0.055474794812204	-0.00440079345778079	0.00770704240466859	0.0595601186194476	0.0237007688613472	0.0371837721755802	0.00340960336776621	0.020354837766405	0.0715919328728399	0.010886339362176	0.0815403780266198	-0.000798104807985308	0.0339089793368059	0.0413364546038052	-0.00607414198250563	-0.0280641015584671	0.0347027787560586	-0.0312973886638369	-0.0135397678464066	-0.00190566793691366	0.0382846632766365	0.00788601965296912	-9.94474032628888e-06	-0.00859522417087029	0.0103499865627499	0.00284547691360226	0.0237833358453637	0.0367051674410634	-0.052031410902657	-0.0431393926684288	-0.0365398209752207
TCGA.MP.A4T7.01A	-0.0160961357048133	-0.00393072064551588	0.0501956031659669	-0.0108293986512468	-0.0439340246717408	0.00760509774507031	-0.0359617959683659	-0.00274194078107217	-0.0370679245912287	-0.0153000245241959	-0.0168777491987977	-0.01520377466685	-0.0248366314604373	-0.0508591695207583	-0.01302553301784	-0.0432906328759867	0.0451918602070942	0.00178173691084348	0.0404103329266552	-0.0187934489667031	-0.00383730069554907	0.0178899097228188	0.0524381443610635	-0.00156604467398656	-0.0202762337772365	-0.0119020496374839	-0.0382801769684746	-0.0717366926494727	-0.00652617270137826	-0.0175558941554326	-0.0653208050428549	0.0576826721115355	0.0519189555874163	-0.0202693296864659	-0.00767382058823905	0.00291026437597645	-0.0154825679384591	-0.039449037763591	-0.0128898033676169	0.000783998677090225	-0.0186647640415369	-0.0168376646502665	-0.0461270790030099	0.0126585564804407	-0.0461021125042668	0.0363488699938655	-0.0240041810977584	-0.0369269174471534	-0.0240923435589834	0.0459103664819683	0.00575270346199697	-0.0330509331653584
TCGA.J2.A4AD.01A	-0.0396947714597202	-0.0370860610078762	-0.0231340660600089	0.0385502404752838	-0.00504566280431401	-0.0232346745845436	-0.0287165291570674	0.00996498220651624	-0.0241567038107683	-0.0486085019042789	-0.0694285273980047	-0.0736187277447257	-0.0752157708458927	-0.0381349257347234	-0.00654223775860931	0.0137392108332455	0.0533126184861495	0.0153009321842744	-0.0322600919046045	-0.0245775972461581	0.0804805129030299	-0.00573555484643914	0.00090268711406463	0.0518436194351795	-0.0147199550414572	-0.0720244340621676	0.00813187651701329	0.0215397245434667	0.0232975340363321	-0.0127879457438206	-0.014288865544484	-0.005633851177914	0.0554824068099467	0.141116299723837	-0.0253312843691321	-0.0246722273173466	0.00762322685069812	-0.0347612005889687	-0.000869808248414391	-0.0358409790167336	-0.0110753213725798	3.09823945080692e-05	-0.00337673346613902	-0.0255006805945843	-0.0575470937455771	-0.00903046040400325	0.0276552673773646	0.0656398245166879	-0.00657754016130146	0.0647278744362605	0.023486991099394	0.0189621627558647
TCGA.38.4625.11A	0.0280216516539747	0.0517071417935598	0.0838462068705239	0.0629864616790161	0.0515686827661788	0.107077465582313	0.0548839353182987	0.0688291423396551	0.0179191277566868	-0.0214472110393621	0.0869428364596465	-0.0376118842706184	-0.00173822833871012	-0.0367159637800262	-0.00456273467660138	-0.0656150560268727	0.0107114177990544	-0.0645652652468255	0.0281117299042885	-0.00903330212571535	0.0182255658215872	0.0113317903560624	-0.00967898970479479	0.052182989867149	0.0733959183056194	0.0444229023194579	-0.024996477138324	-0.017753142757106	-0.0887013500524916	-0.0150918027340378	-0.00651593911577952	-0.0205712482749172	-0.0203760229067574	-0.0286857243485614	-0.0337460434899003	-0.032348047456101	-0.00768823122944686	-0.0353122066543897	-0.0797900449620303	-0.059607120718532	-0.0271915196257054	-0.0591598458607256	-0.0372626206821768	0.00582182003153786	-0.00210328237579096	-0.00948451224386016	-0.0409480699466901	-0.0135502673624244	-0.024085152097903	-0.0693352614566477	-0.04146391302644	-0.0526512768550212
TCGA.55.8299.01A	-0.0346184371336186	0.0159711705153341	0.00454777565738091	-0.0378684874423293	0.0520302476937608	0.0188664355279077	0.00467357973627177	0.00585694964172256	0.0190653666270742	0.0501211077171776	0.0342173058915403	0.0600682363309976	0.0859694581345282	-0.0109881630765693	0.0780857990397262	0.0582857209924847	0.0149985684164844	-0.0251342281517456	-0.0298362521597277	-0.0215501413269689	-0.017767396230312	-0.0108269792182361	-0.00866568651110948	-0.0103065768690461	-0.0116775186238655	-0.00458000135744582	-0.0205294887925441	-0.0345569271614195	0.00414752912459744	-0.0118916432515521	-0.0282129346883209	-0.0202212871398682	-0.00485479858652708	-0.0242170156268208	-0.0155371978557153	-0.0193926414330376	-0.0203496012616944	-0.0393270551456073	-0.00639867355135401	0.00284762077190676	-0.0154784372608658	-0.0254951085517145	-0.00427199523044954	0.00377164728846893	0.00675061810982322	-0.0198964827585219	-5.33122606880324e-05	-0.0201234103839567	-0.0312429542716868	0.00472239900422487	-7.71517319793511e-05	-0.0297856753550552
TCGA.05.4395.01A	-0.112120377852062	-0.0292915640025062	0.0200824956938479	-0.0309356450997693	-0.059468757238175	-0.0566074037556929	-0.0807216400150847	-0.0501823587618483	0.0163364941650198	0.0272883781290115	-0.0223905169782923	-0.0309166498400329	0.0394924442426426	-0.0312779804157016	-0.0147588629210085	-0.0180200658499683	-0.021340742718563	0.038993960170087	0.0662848669674486	0.0773387368897896	0.0492311791852509	0.0805242740418268	0.0159624285687165	0.00999368474259481	0.0598639392396531	0.0620897723999936	0.0889083622997789	0.0393548678843923	0.0441357424413405	0.102185049584576	0.0497791739424337	0.00989988892354045	0.0818449230649101	-0.0244520900008489	-0.0272166707315252	-0.0288805506837796	-0.0392772497427064	0.051275269327856	-0.0370775384666384	-0.00421837104698791	0.0520286624122478	0.0623628695568835	0.0235235885652606	-0.00870316619720648	0.0188841931980424	-0.0243880935311792	0.00339011582785897	-0.0619980813261765	-0.12007271754593	-0.0320813195739546	-0.0396922383279166	-0.0129919348294744
TCGA.78.7158.01A	0.057249247102161	-0.0138203472213217	-0.068959442647947	-0.0338629138274351	-0.0597587974937183	-0.0217519767332171	0.0147042120767203	-0.0211356735729172	-0.0445423272912363	-0.069762926099129	-0.0505702311234936	-0.0578426567080545	-0.0633954181036928	-0.0391809695946549	-0.0613788908347856	-0.0419802167306664	-0.0135840296461318	-0.0417050961155922	0.102573347109373	0.0692978475723995	-0.00613372705007399	0.00189418279890485	0.00399545601972084	-0.0824298156632394	-0.0163003356328513	0.0139206954945302	-0.0339120006490074	0.0213553477757336	-0.0166302131549636	-0.00687395114468079	0.0038555759255987	-0.00595420101268453	-0.0373256577260343	-0.0282719742938173	-0.0338374753823949	-0.0137910961877789	-0.0198635193699966	-0.0349334090742567	0.0298315857348799	0.0193987844226082	0.0481460687132525	0.0412615340650775	-0.0216903990675598	0.0288634316257089	0.0301475798474672	-0.0201303700242616	0.0225503978598957	-0.0343517062985296	0.0385953667302071	0.026069807129771	0.0108316222827949	0.014822136533765
